% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 98.92    8.937006     4468503         2 fgets
  0.48    0.043696         567        77 printf
  0.29    0.025829         516        50 rand
  0.15    0.013364         890        15 putchar
  0.03    0.003133         783         4 puts
  0.03    0.002446         489         5 malloc
  0.02    0.002175         435         5 strtok
  0.02    0.001931         482         4 free
  0.02    0.001795         598         3 strcmp
  0.01    0.001070         535         2 strlen
  0.01    0.000692         692         1 atoi
  0.01    0.000622         622         1 time
  0.01    0.000600         600         1 srand
------ ----------- ----------- --------- --------------------
100.00    9.034359                   170 total
