% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 47.62    0.002020          96        21           write
 33.45    0.001419          94        15        11 read
 11.13    0.000472         157         3           brk
  3.06    0.000130          26         5           mprotect
  1.96    0.000083          16         5           newfstatat
  1.25    0.000053          53         1           getrandom
  0.94    0.000040          40         1           munmap
  0.59    0.000025          25         1           prlimit64
  0.00    0.000000           0         3           close
  0.00    0.000000           0        13           mmap
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         3           openat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.004242          51        82        13 total
